lunedi,martedi,mercoledi,giovedi,venerdi
"[['LETTERE', 'profLettere2', 'aula3']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['MUSICA', 'profMusica', 'aula8']]","[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula3']]"
"[['TECNOLOGIA', 'profTec', 'aula5']]","[['LETTERE', 'profLettere2', 'aula3']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['EDFISICA', 'profEdFisica', 'palestra']]"
"[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula3']]"
"[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['MUSICA', 'profMusica', 'aula8']]","[['EDFISICA', 'profEdFisica', 'palestra']]","[['SCIENZE', 'prof_Math2', 'lab_scienze']]","[['SCIENZE', 'prof_Math2', 'lab_scienze']]"
"[['ARTE', 'profArte', 'lab_arte']]","[['ARTE', 'profArte', 'lab_arte']]","[['LETTERE', 'profLettere2', 'aula1']]","[['INGLESE', 'profIng', 'aula2']]","[['INGLESE', 'profIng', 'aula2']]"
"[['MATEMATICA', 'prof_Math1', 'aula4']]","[['RELIGIONE', 'profReligione', 'aula7']]","[['INGLESE', 'profIng', 'aula2']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['MATEMATICA', 'prof_Math1', 'aula4']]"
