lunedi,martedi,mercoledi,giovedi,venerdi
"[['EDFISICA', 'profEdFisica', 'palestra']]","[['MUSICA', 'profMusica', 'aula8']]","[['INGLESE', 'profIng', 'aula2']]","[['MUSICA', 'profMusica', 'aula8']]","[['LETTERE', 'profLettere2', 'aula1']]"
"[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['MATEMATICA', 'prof_Math2', 'aula4']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['EDFISICA', 'profEdFisica', 'palestra']]","[['MATEMATICA', 'prof_Math2', 'aula4']]"
"[['RELIGIONE', 'profReligione', 'aula7']]","[['MATEMATICA', 'prof_Math2', 'aula4']]","[['INGLESE', 'profIng', 'aula2']]","[['LETTERE', 'profLettere2', 'aula3']]","[['MATEMATICA', 'prof_Math2', 'aula4']]"
"[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula3']]"
"[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula3']]","[['ARTE', 'profArte', 'lab_arte']]","[['ARTE', 'profArte', 'lab_arte']]","[['SCIENZE', 'prof_Math2', 'lab_scienze']]"
"[['SCIENZE', 'prof_Math2', 'lab_scienze']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['LETTERE', 'profLettere2', 'aula1']]","[['INGLESE', 'profIng', 'aula2']]","[['SPAGNOLO', 'profSpagnolo', 'aula6']]"
