lunedi,martedi,mercoledi,giovedi,venerdi
"[['LETTERE', 'profLettere2', 'aula1']]","[['MATEMATICA', 'prof_Math2', 'aula4']]","[['SCIENZE', 'prof_Math1', 'lab_scienze']]","[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['RELIGIONE', 'profReligione', 'aula7']]"
"[['SCIENZE', 'prof_Math1', 'lab_scienze']]","[['ARTE', 'profArte', 'lab_arte']]","[['INGLESE', 'profIng', 'aula2']]","[['INGLESE', 'profIng', 'aula2']]","[['MUSICA', 'profMusica', 'aula8']]"
"[['MATEMATICA', 'prof_Math2', 'aula4']]","[['LETTERE', 'profLettere2', 'aula3']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['MATEMATICA', 'prof_Math2', 'aula4']]","[['LETTERE', 'profLettere2', 'aula1']]"
"[['LETTERE', 'profLettere2', 'aula1']]","[['EDFISICA', 'profEdFisica', 'palestra']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula1']]"
"[['MUSICA', 'profMusica', 'aula8']]","[['INGLESE', 'profIng', 'aula2']]","[['LETTERE', 'profLettere2', 'aula3']]","[['LETTERE', 'profLettere2', 'aula1']]","[['MATEMATICA', 'prof_Math2', 'aula4']]"
"[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['LETTERE', 'profLettere2', 'aula1']]","[['LETTERE', 'profLettere2', 'aula3']]","[['EDFISICA', 'profEdFisica', 'palestra']]","[['ARTE', 'profArte', 'lab_arte']]"
