lunedi,martedi,mercoledi,giovedi,venerdi
"[['MUSICA', 'profMusica', 'aula8']]","[['LETTERE', 'profLettere1', 'aula3']]","[['RELIGIONE', 'profReligione', 'aula7']]","[['INGLESE', 'profIng', 'aula2']]","[['INGLESE', 'profIng', 'aula2']]"
"[['LETTERE', 'profLettere1', 'aula1']]","[['MUSICA', 'profMusica', 'aula8']]","[['LETTERE', 'profLettere1', 'aula1']]","[['LETTERE', 'profLettere1', 'aula3']]","[['LETTERE', 'profLettere1', 'aula1']]"
"[['EDFISICA', 'profEdFisica', 'palestra']]","[['ARTE', 'profArte', 'lab_arte']]","[['LETTERE', 'profLettere1', 'aula1']]","[['INGLESE', 'profIng', 'aula2']]","[['SPAGNOLO', 'profSpagnolo', 'aula6']]"
"[['SCIENZE', 'prof_Math1', 'lab_scienze']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['ARTE', 'profArte', 'lab_arte']]"
"[['EDFISICA', 'profEdFisica', 'palestra']]","[['LETTERE', 'profLettere1', 'aula1']]","[['SPAGNOLO', 'profSpagnolo', 'aula6']]","[['MATEMATICA', 'prof_Math1', 'aula4']]","[['TECNOLOGIA', 'profTec', 'aula5']]"
"[['LETTERE', 'profLettere1', 'aula1']]","[['SCIENZE', 'prof_Math1', 'lab_scienze']]","[['TECNOLOGIA', 'profTec', 'aula5']]","[['LETTERE', 'profLettere1', 'aula3']]","[['LETTERE', 'profLettere1', 'aula1']]"
