Stato,Posizione,PosizioneKalman,Velocita,VelocitaKalman,ErrorePosizione, ErroreVeocita, KalmanGain
0,5.067604741695278E-4,3.199370553424714E-4,0.010135209483390558,0.009998042987460497,1.8682341882705645E-4,1.3716649593006024E-4,0.9999990000010001
1,0.0020186027480182944,0.0012718906127457254,0.020101635993584773,0.019943269756961066,7.46712135272569E-4,1.583662366237068E-4,0.9999990000010001
2,0.004521982786844701,0.004326118300992751,0.02996596478294335,0.030053042576197227,1.9586448585195027E-4,8.707779325387716E-5,0.9999990000010001
3,0.008017346913266252,0.008331112178507283,0.03994131774548765,0.04019672566416376,3.137652652410311E-4,2.554079186761135E-4,0.9999990000010001
4,0.012517430402376288,0.013118413287350701,0.05006035203671305,0.05029657410670791,6.009828849744131E-4,2.3622206999485834E-4,0.9999990000010001
5,0.018030577626137488,0.01871837395839065,0.06020259243851093,0.06032833120605257,6.877963322531634E-4,1.257387675416416E-4,0.9999990000010001
6,0.0245517195120954,0.024694165235232494,0.07022024528064735,0.0700370716269195,1.4244572313709333E-4,1.8317365372785832E-4,0.9999990000010001
7,0.03207008055060892,0.030428728758689204,0.08014697548962292,0.07899974005985905,0.0016413517919197165,0.0011472354297638737,0.9999990000010001
8,0.04057705170259874,0.04025836536860763,0.08999244755017338,0.08991796240673762,3.186863339911111E-4,7.44851434357624E-5,0.9999990000010001
9,0.050071555700407236,0.04993076647811342,0.0998976324059966,0.10004275609229883,1.4078922229381757E-4,1.4512368630223427E-4,0.9999990000010001
10,0.060558806661294616,0.05950800192147219,0.10984738681175091,0.1093632375880012,0.001050804739822428,4.841492237497025E-4,0.9999990000010001
11,0.07204363765700883,0.07242876666214283,0.1198492331025335,0.12050469099344424,3.851290051340023E-4,6.554578909107461E-4,0.9999990000010001
12,0.08452817281342595,0.08394177559584465,0.12984147002580895,0.12967526754759998,5.863972175813026E-4,1.662024782089766E-4,0.9999990000010001
13,0.09799805704234249,0.09836519571385936,0.1395562145525218,0.1404641148689585,3.6713867151687285E-4,9.079003164366994E-4,0.9999990000010001
14,0.1124483337054334,0.1111559710027816,0.14944931870929642,0.14897728737205002,0.001292362702651803,4.720313372464091E-4,0.9999990000010001
15,0.12789439619131363,0.12966415686665897,0.15947193100830825,0.16166778257196332,0.0017697606753453443,0.0021958515636550657,0.9999990000010001
16,0.14433823860706319,0.14320737313909232,0.1694049173066831,0.16891886207365933,0.0011308654679708652,4.8605523302377995E-4,0.9999990000010001
17,0.16177583706165674,0.160676736411187,0.17934705178518787,0.17898801664933445,0.0010991006504697531,3.590351358534194E-4,0.9999990000010001
18,0.18021082893110257,0.18035746582217935,0.18935278560372884,0.1901455404568599,1.4663689107677347E-4,7.927548531310724E-4,0.9999990000010001
19,0.19964580718520197,0.1989093184156875,0.19934677947825893,0.19926800643114143,7.364887695144595E-4,7.877304711750854E-5,0.9999990000010001
20,0.2200809857861806,0.2200143907918962,0.20935679254131373,0.2098910751409775,6.659499428440796E-5,5.342825996637601E-4,0.9999990000010001
21,0.24152644558175923,0.2408807590794516,0.21955240337025914,0.21931538577159768,6.456865023076186E-4,2.3701759866145977E-4,0.9999990000010001
22,0.26398320840555345,0.2622448798566934,0.2295828531056258,0.22832348758394994,0.0017383285488600242,0.0012593655216758537,0.9999990000010001
23,0.28743529695511516,0.2883536276904667,0.23945891788560825,0.24091442460380838,9.183307353515247E-4,0.0014555067182001336,0.9999990000010001
24,0.31188718231129864,0.3118280829024775,0.24957878923806126,0.2498684254953777,5.90994088211505E-5,2.8963625731642795E-4,0.9999990000010001
25,0.33734661350807915,0.3360472983734413,0.25960983469754884,0.25867798075705306,0.001299315134637824,9.318539404957749E-4,0.9999990000010001
26,0.3637983229674945,0.3640580496078108,0.2694243544907579,0.2702244941385723,2.5972664031631565E-4,8.001396478143907E-4,0.9999990000010001
27,0.3912439737661527,0.3905435273525116,0.2794886614824065,0.27924653004172073,7.004464136411426E-4,2.4213144068574444E-4,0.9999990000010001
28,0.41968670367354444,0.419648226878702,0.28936593666542787,0.28988888066814816,3.847679484242361E-5,5.229440027202936E-4,0.9999990000010001
29,0.44912705686607046,0.4487071848793023,0.29944112718509264,0.2994822631861099,4.1987198676818327E-4,4.113600101723902E-5,0.9999990000010001
30,0.4795666506141815,0.4789472610764655,0.3093507477771286,0.3092851938478311,6.193895377160086E-4,6.55539292975238E-5,0.9999990000010001
31,0.5110033954255118,0.5108679357410137,0.31938414844947544,0.31975154857780097,1.3545968449801826E-4,3.674001283255346E-4,0.9999990000010001
32,0.5434394014834579,0.5431248615122182,0.3293359727094493,0.32954461482756536,3.1453997123975785E-4,2.086421181160536E-4,0.9999990000010001
33,0.5768766075360291,0.5760061102353083,0.3394081483419762,0.33900075895423987,8.704973007207517E-4,4.0738938773632327E-4,0.9999990000010001
34,0.6113305671463876,0.6117634818551461,0.3496710438651941,0.3502891466237848,4.329147087585028E-4,6.181027585906995E-4,0.9999990000010001
35,0.6467923489675813,0.645627179940404,0.359564592558683,0.35870786246004716,0.0011651690271773374,8.567300986358495E-4,0.9999990000010001
36,0.6832487429382887,0.6846204301851946,0.3695632868554666,0.3711989303509887,0.0013716872469058394,0.0016356434955221433,0.9999990000010001
