Stato,VelocitaX,VelocitaXKalman,VelocitaY,VelocitaYKalman,PosizioneX,PosizioneXKalman,PosizioneY,PosizioneYKalman,ErroreVeocitaX,ErroreVeocitaY,ErrorePosizioneX,ErrorePosizioneY,KalmanGain
0,0.009900000000000003,0.009998376156486898,0.0499,0.050110074453467934,4.0000000000000013E-4,4.8358294208251885E-4,0.0024000000000000007,0.003612852724560774,9.837615648689534E-5,2.100744534679344E-4,8.358294208251873E-5,0.0012128527245607733,0.24987642115666914
1,0.019874704517276704,0.03358700295084356,0.0998747045172767,0.08987267858054986,0.0018647045172767009,0.0036174361065840124,0.0098647045172767,0.009892825990423236,0.013712298433566857,0.010002025936726847,0.0017527315893073115,2.8121473146534848E-5,0.23994365265614725
2,0.029825505009589404,0.026674927124779094,0.14982550500958938,0.13660357021448585,0.004302975461317071,0.004306027467438362,0.02230297546131707,0.020767311021295427,0.00315057788481031,0.01322193479510353,3.05200612129089E-6,0.0015356644400216432,0.23005128319385382
3,0.03980673597848762,0.03593097459592317,0.1998067359784876,0.1954618067351552,0.00776675693117422,0.007274306310735875,0.03976675693117422,0.039299705912030386,0.0038757613825644507,0.004344929243332407,4.92450620438345E-4,4.670510191438354E-4,0.22010843694284124
4,0.049860186452444916,0.04775394079224392,0.24986018645244493,0.24670754090068253,0.012300881002980274,0.012012023285357127,0.06230088100298028,0.06178639094336555,0.0021062456602009977,0.0031526455517623952,2.888577176231467E-4,5.144900596147292E-4,0.21323826206025068
5,0.05987769183277104,0.05869352751548535,0.2998776918327711,0.29392340903989445,0.017804405028550893,0.017701031684371645,0.0898044050285509,0.08773154575949643,0.0011841643172856922,0.005954282792876631,1.0337334417924796E-4,0.0020728592690544695,0.20872164227758314
6,0.06979254151437789,0.06812638581086153,0.3497925415143779,0.3473608110757622,0.024207023893434845,0.023773246365552433,0.12220702389343487,0.12142481754141064,0.0016661557035163588,0.0024317304386156646,4.3377752788241117E-4,7.822063520242228E-4,0.20571577350369497
7,0.0798925415143779,0.07933608739408082,0.39989254151437786,0.397705712305245,0.031786278044872635,0.03181448084667348,0.15978627804487264,0.15886863056006645,5.564541202970757E-4,0.002186829209132879,2.8202801800845945E-5,9.176474848061889E-4,0.20365702279419853
8,0.0899925415143779,0.08946708907294632,0.44999254151437784,0.4488604470850829,0.04037553219631043,0.04033637301870825,0.2023755321963104,0.20191738991016603,5.254524414315814E-4,0.0011320944292949608,3.9159177602179907E-5,4.581422861443807E-4,0.202202646907362
9,0.1000925415143779,0.09839528399709983,0.5000925415143779,0.4991033689268054,0.049974786347748226,0.04899194481762461,0.2499747863477482,0.2494827437932185,0.0016972575172780613,9.891725875724733E-4,9.828415301236168E-4,4.92042554529698E-4,0.20114604971165992
10,0.11008038683897767,0.11060407395696996,0.5500803868389776,0.5482596251491894,0.060471885823785786,0.061087165547238156,0.30247188582378576,0.30122241733371163,5.236871179922914E-4,0.0018207616897882861,6.152797234523708E-4,0.0012494684900741237,0.20036015109459304
11,0.12014436233883548,0.1195136183721727,0.6001443623388355,0.5994087290530056,0.07204390000754135,0.07172684056015152,0.36004390000754133,0.3595186322735594,6.307439666627807E-4,7.356332858299286E-4,3.1705944738982805E-4,5.252677339819267E-4,0.19976432324071394
12,0.13023411598938023,0.12919324160342013,0.6502341159893803,0.6482786587931938,0.08464808989196965,0.08389400318821916,0.4226480898919696,0.4209570446216462,0.0010408743859600944,0.0019554571961865053,7.540867037504895E-4,0.0016910452703234324,0.1993056567684666
13,0.14014859466522878,0.13902654098668724,0.7001485946652289,0.6986120435951063,0.09808598016675622,0.09715935709525611,0.4900859801667562,0.48859283583084456,0.0011220536785415403,0.001536551070122627,9.266230715001128E-4,0.0014931443359116336,0.19894828176093368
