Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,-0.050277376176421806,-0.1213859062158335,-1.0055475235284361,-0.0019602584154698316,0.09157000490115995
1,-0.0862538986604058,0.2092646852930723,0.2860170738487562,0.04187252839105146,0.1448245303514222
2,-0.09384613718809473,2.0550934141378194,-0.43786184440253484,0.30835354560660544,0.17738388573310837
3,-0.17696516055316489,6.0306005689251405,-1.224518622898868,1.0577741702670642,0.19686881392922537
4,-0.31243695091885304,4.777745551375352,-1.4849171844148943,0.7396754154945002,0.20875141444730744
5,-0.37399456089046945,2.5149312589970383,0.25376498498256606,0.0532303999033068,0.21641300107401845
6,-0.3218920142533004,1.6804653896483366,0.7882859477608142,-0.2348221810811263,0.2217735258545408
7,-0.2320038937977565,1.448880776521437,1.0094764613500637,-0.3102591737244411,0.22586317685231685
8,-0.09367058312319014,-2.662509579021558,1.7571897521412627,-2.1816990368624474,0.2292095793469735
9,0.10272260938220147,0.6618782119680695,2.1706740979665695,-0.37197844378190137,0.2320714163741094
10,0.33263900655515605,3.6740430329596157,2.4276538454925225,1.315538363305249,0.23457106571215716
11,0.5838268207661436,1.973991808458822,2.5961024387272276,0.2496901274423693,0.23676659660748417
12,0.8513522338073191,-0.3236474059567538,2.754405822096284,-1.1789267844562061,0.2386889705000614
13,1.1340657159860759,0.7867003861868672,2.899863821478854,-0.37498459042061727,0.24035994316104475
14,1.4611507119073803,0.4109362903577239,3.6418360969472356,-0.5919140139205578,0.2417996841434779
15,1.8163674099080855,-0.2820318632388778,3.4624978630668712,-1.0191538581377806,0.2430292374004891
16,2.164335072258473,7.4127816491812,3.4968553839408756,4.491836636848262,0.24407064553161673
17,2.555531796955492,5.443734870133714,4.3270791099995005,2.762607464115037,0.24494621796923513
18,2.9899798547793597,6.372881127453644,4.3618820464778505,3.2489705493142167,0.24567765945224734
19,3.4358599155603655,2.148480732209249,4.5557191691422645,-0.10483583399634622,0.2462853577245803
20,3.779271254630312,4.582788630116569,2.3125076122566566,1.7306305344845865,0.24678791563265845
21,3.9636640743147953,7.225198027164755,1.3753487814330123,3.5995733084494193,0.24720191442967251
22,4.111845934157742,4.058584351392935,1.5882884154259274,0.9361783593866813,0.24754185861390698
23,4.254582878940711,4.02992250780277,1.2664504802334666,0.8526150440124168,0.24782024670543817
24,4.436984609126515,6.8592627043047045,2.381584123482611,2.9624416944248257,0.24804771955570448
25,4.661788283792597,9.773086469249698,2.1144893698390446,4.982509170625823,0.24823324901703034
26,4.923847113570577,8.351384571186934,3.1266872257205662,3.513285006251667,0.2483843408138589
27,5.227397298098115,4.1829197171169135,2.944316464830191,0.03350626702905801,0.2485072345948938
28,5.525318802131501,5.898003564129995,3.0141136158375286,1.3670872257821125,0.24860709104398837
29,5.833034800416494,6.316037360916978,3.1402063498623147,1.594623998678542,0.2486881607971842
30,6.074322476427099,4.9954643133442485,1.6855471703497975,0.45634876646656175,0.24875393315648023
31,6.307592104390673,6.534208144008162,2.9798453889216745,1.625132424671179,0.24880726462392128
32,6.640231542460469,9.391573480546215,3.6729433724742617,3.7285595789817467,0.24885048845945193
33,7.063016853100151,10.327548970022704,4.782762840319383,4.175980130576651,0.24888550707130883
34,7.520699336034902,11.501428772969703,4.370886818375639,4.773886304149652,0.2489138692831745
35,7.928690785210466,12.422877488907595,3.7889421651356585,5.129068081869691,0.24893683453170803
36,8.298518827913497,14.063020809093512,3.607618688924951,6.016203107066439,0.24895542592879505
37,8.634232811313186,11.440847684219714,3.1066609790688164,3.515479458750565,0.24897047393853197
38,8.99190610293605,9.137035174286904,4.046804853388423,1.4569253326151022,0.2489826522096419
39,9.308561149833457,8.535303816811288,2.286296084559737,0.8842887754256431,0.2489925068936933
40,9.474343660408596,7.97201667410159,1.0293541269430437,0.38613467587953143,0.2490004805816159
41,9.538040347984598,9.810944732378966,0.24457962457700144,1.7985712195887495,0.2490069318122511
42,9.58978253375293,13.492097575698988,0.7902640907896377,4.536693671109917,0.24901215094952728
43,9.700856580017113,9.75358426014416,1.4312168344940381,1.279139749491144,0.24901637308934033
44,9.814652508243578,15.679195219401684,0.8447017300352259,5.807450177569133,0.2490197885419945
45,9.884904889868505,12.612239599854952,0.560345902463327,2.973914023229162,0.2490225513391206
46,9.926366331444433,15.776817649476897,0.26888292905521327,5.218402310479139,0.24902478613308582
47,10.005959336332424,18.33070420833531,1.3229771687045941,6.811978641216308,0.2490265937898232
48,10.134719476502426,20.39220047918683,1.2522256346954403,7.897550837673787,0.24902805592063504
49,10.350146953660024,20.199742279973727,3.0563239084565144,7.141495430658864,0.24902923855302156
50,10.560465132028007,14.40232259048334,1.150039658903119,2.0750468644853344,0.2490301951032841
51,10.688388595356805,14.125312340225719,1.4084296076728564,1.706950708476761,0.2490309687831692
52,10.843640964214444,15.120165150450797,1.6966177694798958,2.3590451645014303,0.24903159454794668
53,10.934629178856712,15.026652731423988,0.12314652336544807,2.1118511955482577,0.24903210067306172
54,11.051329573693154,7.626018937022771,2.2108613733633877,-3.8125432333764286,0.24903251003001844
55,11.228248519032112,10.444582705250012,1.3275175334157545,-1.308410887846445,0.24903284111876733
56,11.292924550941258,5.696465693084777,-0.033996895232847546,-4.8983658059208,0.2490331089029979
57,11.351991869579669,9.373609718876537,1.2153432680010334,-1.6402216303166886,0.24903332548591706
58,11.459382508060212,10.825873564933461,0.9324695016098237,-0.3705679123054644,0.24903350065694646
59,11.585057814630032,9.962213533720213,1.5810366297865803,-1.0053725922100947,0.24903364233397512
