Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,-0.011103277649557248,3.020724886531998,-0.22206555299114494,0.042825287769836955,0.3346670193770253
1,-0.03314307501049325,1.6824956551325134,-0.21873039422757515,-0.04159968555309,0.3758812180604333
2,-0.08085196041602828,1.1716319844726515,-0.7354473138831251,-0.10714209120287274,0.3826721939526137
3,-0.12530544509236152,-8.427941251209234,-0.15362237964353964,-2.342613638330334,0.38469591974359
4,-0.13752013921983194,-7.071991978209366,-0.09067150290586912,-1.8267378108934067,0.38603994827123417
5,-0.08275290735396941,-16.41608045596477,1.1860161402231195,-5.455341566666117,0.38723335130173053
6,0.061782121574638894,-1.3954927595989304,1.7046844383490465,1.8571793808147365,0.3883233344893687
7,0.2023330364176668,1.1970673849174622,1.1063338585115114,3.1510869036461204,0.38930495715166713
8,0.24464722841871794,-4.658216618505914,-0.2600500184904895,-0.4816823607089207,0.3901751545733342
9,0.27710555211369187,-14.015674379043405,0.9092164923899677,-6.427517854298625,0.3909364240790746
10,0.3308387029489094,-7.277799968381745,0.16544652431438234,-1.3817725601471675,0.3915951189160425
11,0.33857826263332275,4.207040074389918,-0.010655330626114456,6.981819814626487,0.392159823264703
12,0.3293244337344959,-0.6574103165726592,-0.17442124735042328,2.8215566108975887,0.3926401898171763
13,0.34284824203243547,-8.125751004627809,0.4448974133092144,-3.1806118102951197,0.3930461331992459
14,0.32868863654136565,-0.8931355795344764,-0.7280895231306105,2.850693874497119,0.39338728697980746
15,0.28290547918693454,0.11834933138189674,-0.18757362395801125,3.452856800931154,0.39367266082075364
16,0.2893342846071781,-1.767094722564174,0.31614973236288135,1.6088712077003746,0.3939104481523172
17,0.27291858880472675,9.406753831685018,-0.6444636484119085,10.908087142086805,0.39410794299342744
18,0.16195196675437565,5.760341388720981,-1.5748687925951126,6.872356727649195,0.39427153185777114
19,-0.03288529315041537,-5.455739994519265,-2.3218764055007073,-3.3852427887232848,0.39440673390046854
20,-0.2520069261257156,8.839496488936044,-2.0605562540052973,9.350461981849342,0.3945182691771152
21,-0.4727305224050258,9.63010550653376,-2.3539156715809053,9.233571783861217,0.39461014066854966
22,-0.7267282890834276,0.9322819148024788,-2.726039661987129,0.7737235192369543,0.3946857203723017
23,-1.0142188879941063,-3.0270158364484017,-3.023772316226446,-2.7860803890176182,0.3947478332920596
24,-1.3958316406982445,-15.870847827974497,-4.60848273785632,-13.927830729687042,0.39479883571126945
25,-1.8218566851746645,-8.364370110921135,-3.9120181516720787,-5.996764616427137,0.39484068590492577
26,-2.2360004089444168,-11.421934155580406,-4.370856323722973,-8.180409441927083,0.39487500661251684
27,-2.674052055252983,4.42889325129568,-4.390176602448355,6.732716786967325,0.3949031393281828
28,-3.099625924607747,1.4758014537826472,-4.121300784646922,3.4946450350149845,0.3949261908922387
29,-3.5082767089634626,-2.1133703268135893,-4.051714902467395,-0.027806108111591676,0.39494507309062493
30,-4.0515915341455,-3.0254437234830838,-6.81458160117337,-0.8345626361146817,0.39496053605776665
31,-4.877970785419525,-14.36636963341823,-9.713003424307121,-10.940326028714598,0.394973196284563
32,-5.9378770475975875,-9.356874449410496,-11.485121819254106,-5.442483292070438,0.3949835599914207
33,-7.030722861726633,0.9530559138675212,-10.37179446332679,4.332986396288577,0.3949920425593012
34,-8.04644768356292,-2.884028938507078,-9.94270197339897,0.4984281244540725,0.394998984634316
35,-8.932888750104413,-7.93822421566922,-7.786119357430884,-4.088407994024546,0.39500466544248225
36,-9.665846932620752,2.0596581564128353,-6.873044292895932,5.295871636246529,0.3950093137760134
37,-10.299270242000773,-6.163441372089256,-5.7954218947044955,-2.5814085360523595,0.3950131170437182
38,-10.875372440974097,-7.021426006274757,-5.7266220847619795,-3.112481988605662,0.39501622871685965
39,-11.440364395381946,-10.51939344246357,-5.573217003395047,-5.975550369649209,0.39501877444842437
40,-12.068348464069919,-13.293816532769107,-6.986464370364395,-7.928592043999006,0.3950208570977877
41,-12.776725666001914,-13.409923196810281,-7.181079668275519,-7.308832447591234,0.3950225608536637
42,-13.540469928928367,-23.16787370678084,-8.093805590253568,-15.439556835576592,0.39502395461521295
43,-14.403857300911833,-21.59495740558717,-9.173941849415757,-12.619103090730956,0.3950250947634818
44,-15.31080375824195,-32.88565794895035,-8.964987297186566,-21.654462774386033,0.39502602743223875
45,-16.23688024602682,-29.616957082654203,-9.556542458510808,-16.743624416682323,0.3950267903680461
46,-17.290090675543595,-17.477120288484066,-11.50766613182467,-4.273912398303528,0.39502741445348083
47,-18.40005038996454,-15.865053993817181,-10.691528156594254,-2.4247427899631395,0.3950279249542459
48,-19.455252463231822,-19.07170618040601,-10.412513308751391,-5.089004289459121,0.3950283425400455
49,-20.478514897469875,-16.81841767530156,-10.05273537600967,-2.587787357893518,0.3950286841201541
50,-21.578643789461776,-22.62250528074138,-11.949842463828318,-7.580553689573511,0.39502896352722866
51,-22.792475089280444,-19.284703680119268,-12.326783532545027,-3.8761524347973375,0.3950291920768831
52,-23.945492700435658,-28.823962136003665,-10.733568690559247,-12.122364070538678,0.39502937902555524
53,-25.024197331814246,-43.39341114549636,-10.84052393701249,-24.162578491294415,0.39502953194513396
54,-26.031467755134617,-43.33433401413034,-9.30488452939487,-21.91996910920377,0.3950296570294606
55,-26.97533276348355,-33.20051105579761,-9.572415637583804,-10.790915526881651,0.39502975934508405
56,-27.889924264216436,-43.214436221998525,-8.71941437707389,-18.841804733895692,0.3950298430364025
57,-28.712391419245165,-40.36480783425369,-7.729928723500678,-14.561694223563386,0.39502991149348216
58,-29.429562166362214,-32.48872558873577,-6.613486218840266,-6.133108210534489,0.39502996748934227
59,-30.067448065548138,-32.46981635337631,-6.144231764878201,-5.553203765096012,0.39503001329225995
