Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,5.079695385193877E-4,0.0020071670051059684,0.010159390770387753,0.011369020401004598,0.49999979355241697
1,0.0020236504395868206,0.0016114054464713011,0.020154227250960905,0.021003008019505238,0.4997548893582426
2,0.004533381609870947,0.00496741687334357,0.030040396154721614,0.031208309095111676,0.4997571567531396
3,0.008032776452358335,0.009155071729033447,0.039947500695026165,0.04141142586837921,0.49975932155150976
4,0.012524310753437903,0.015393188609048241,0.04988318532656519,0.0521112971441349,0.49976131731658774
5,0.01800989810881362,0.019620065313549373,0.05982856178094918,0.06135321637831994,0.4997631281290261
6,0.02448549706468327,0.024555647207207952,0.06968341733644376,0.07037487071101015,0.4997647475288725
7,0.031949423889672736,0.03228823141764125,0.07959511916334565,0.08049833251976701,0.4997661771178191
8,0.04041385608818147,0.04034185082183645,0.08969352480682898,0.09015953002184045,0.4997674247891026
9,0.0498805084827667,0.048333170653337476,0.0996395230848756,0.09905274100515193,0.49976850286687746
10,0.06034027675996936,0.06168624806570717,0.10955584245917763,0.11130165748286365,0.4997694263909674
11,0.07179733217037733,0.07141731399723295,0.11958526574898161,0.11979310200889962,0.4997702116814894
12,0.0842565821208703,0.08355871822356277,0.12959973326087762,0.1295157085067403,0.4997708752357801
13,0.09771910138095885,0.09758432365389712,0.13965065194089327,0.13999976194163988,0.4997714329472317
14,0.11217714154731216,0.11070903898496114,0.14951015138617296,0.14881438195198343,0.49977189960412877
15,0.12763407166582078,0.12776719662631558,0.15962845098399922,0.16028571222691707,0.4997722886113639
16,0.14410328113278453,0.14467803329833828,0.1697557383552757,0.17062609959473773,0.4997726118776102
17,0.16157087407131124,0.16277877292832002,0.17959612041525883,0.18111104849769494,0.4997728798156937
18,0.18003012243939812,0.1792097930411321,0.1895888469464788,0.1891270692592475,0.4997731014175061
19,0.19949856109519296,0.19849510769130804,0.19977992616941795,0.19901020321457732,0.4997732843699056
20,0.21997358783025137,0.21981128393170862,0.2097206085317503,0.20985526715442424,0.4997734351916505
21,0.24144643113750497,0.24268761608708808,0.21973625761332224,0.22114646530592794,0.49977355937488444
22,0.2639162358709176,0.2636728305866922,0.22965983705493068,0.22962706695131388,0.4997736615226111
23,0.2873830467155553,0.2876677305342443,0.2396763798378228,0.24012511057536431,0.4997737454756167
24,0.3118577929081474,0.3135635880936208,0.24981854401401962,0.25142350972377836,0.4997738144284247
25,0.33734237216002094,0.33526415841178714,0.25987304102345044,0.2577148501756373,0.4997738710296629
26,0.36382918642158246,0.3639868984509867,0.2698632442077793,0.2700256929954423,0.49977391747067446
27,0.3913115681255566,0.3914319437490204,0.2797843898717042,0.27997137634693675,0.4997739555611747
28,0.4197927921772767,0.4202107216587103,0.28984009116269804,0.29023766542768353,0.49977398679302687
29,0.44927572536231847,0.44808552188809675,0.29981857253813726,0.29867688814840493,0.49977401239469127
30,0.4797566264521777,0.4786636030713376,0.3097994492590475,0.30887620517527087,0.499774033376881
31,0.511235871123639,0.5119657532962499,0.3197854441701792,0.32069126928843317,0.4997740505702234
32,0.5437130429634133,0.5433682831902095,0.32975799262530786,0.3295846225614619,0.4997740646568386
33,0.5771924342863142,0.5750335916817625,0.3398298338327104,0.33788278879161426,0.4997740761970345
34,0.6116729911519049,0.6098196131073407,0.3497813034791069,0.34835537116262777,0.49977408564992715
35,0.6471351611381175,0.6470874649021592,0.3594620962451475,0.3601906090826401,0.49977409339265116
36,0.6835838804085527,0.683306656050104,0.3695122891635558,0.36990572822205237,0.4997740997341731
37,0.7210306102089277,0.7212268115183736,0.3794223068439453,0.3803139276322418,0.49977410492778224
38,0.7594752307848278,0.7584907952112308,0.3894701046740582,0.3891093902683244,0.4997741091811544
39,0.7989176797756219,0.7994959744713693,0.399378875141824,0.4006247681689942,0.4997741126642679
40,0.8393554812584524,0.8372693938909535,0.4093771545147886,0.40797335866220075,0.49977411551662215
41,0.8807892978281961,0.879786731216237,0.41929917688008844,0.4191332636769709,0.4997741178524711
42,0.923220262294099,0.9223456072283849,0.4293201124379714,0.4292716547901826,0.4997741197650439
43,0.9666517980793191,0.9661888687360689,0.4393106032664296,0.43966731216435734,0.4997741213313623
44,1.0110835891194307,1.0122696488727856,0.4493252175358009,0.45120216180676903,0.49977412261374815
45,1.056511328964339,1.0558919363798571,0.4592295793623662,0.4593021848913502,0.4997741236638944
46,1.102941111756631,1.1031083176712684,0.4693660764834724,0.47004983182630966,0.49977412452377046
47,1.1503873585168258,1.1495847307483142,0.47955885872042336,0.4790716246676542,0.49977412522793496
