Stato,VelocitaX,VelocitaXKalman,VelocitaY,VelocitaYKalman,PosizioneX,PosizioneXKalman,PosizioneY,PosizioneYKalman,ErroreVeocitaX,ErroreVeocitaY,ErrorePosizioneX,ErrorePosizioneY,KalmanGain
0,0.010085792288310762,0.010002724795415455,0.05008579228831076,0.0499898089209966,5.857922883107599E-4,0.0010724795167866327,0.00258579228831076,3.588543013856604E-4,8.306749289530707E-5,9.598336731415913E-5,4.8668722847587274E-4,0.0022269379869251,0.2499940505937685
1,0.020151927488458326,0.020200825102532956,0.10015192748845833,0.10022716053793428,0.0021605067172894015,0.004479364478535366,0.010160506717289403,0.010142221129631382,4.889761407463056E-5,7.523304947594511E-5,0.002318857761245965,1.8285587658021032E-5,0.24999381540157334
2,0.03007308034019153,0.029615382361229653,0.15007308034019154,0.15012445876815794,0.004596852317868438,0.004069700744093718,0.022596852317868437,0.02215098406197028,4.576979789618768E-4,5.137842796640313E-5,5.271515737747205E-4,4.458682558981554E-4,0.24999387535192222
3,0.040036339338376074,0.04001472974964009,0.20003633933837608,0.19980350671232838,0.008067419350072132,0.008903100132204625,0.04006741935007214,0.038560876949029925,2.16095887359824E-5,2.3283262604770205E-4,8.356807821324926E-4,0.001506542401042213,0.2499939323934845
4,0.05000173369961026,0.050020849481630804,0.25000173369961026,0.2508060050448061,0.012536447645143924,0.013420832619189782,0.06253644764514393,0.06370476480013298,1.9115782020545646E-5,8.042713451958394E-4,8.843849740458581E-4,0.0011683171549890514,0.2499939856910733
5,0.05996352622208916,0.05962589905639449,0.29996352622208916,0.29927389013670447,0.017998413537583854,0.018054353467857727,0.08999841353758387,0.08791598038831137,3.376271656946733E-4,6.896360853846928E-4,5.59399302738732E-5,0.002082433149272492,0.24999403464951825
6,0.06993169165381354,0.06922088044641846,0.3499316916538135,0.350484299453905,0.02446293159151714,0.023746304688125705,0.12246293159151715,0.12264644442617396,7.10811207395079E-4,5.526078000915313E-4,7.16626903391436E-4,1.8351283465681267E-4,0.24999407892590153
7,0.07983169165381353,0.07905859839826815,0.3998316916538135,0.3994489693310234,0.031856100756898494,0.03089274640992644,0.15985610075689852,0.15843630067501718,7.73093255545379E-4,3.8272232279007445E-4,9.633543469720549E-4,0.0014198000818813339,0.2499941184065543
8,0.0898988313656789,0.0891871105896481,0.4498988313656789,0.44981721922039997,0.04040640963414523,0.03949804984539206,0.20240640963414525,0.20145270044564967,7.117207760308081E-4,8.16121452789087E-5,9.083597887531644E-4,9.537091884955773E-4,0.24999415316663845
9,0.09990018706087743,0.09941178859425286,0.4999001870608774,0.5004844985404084,0.04989764846591165,0.04924107208998864,0.24989764846591164,0.24989760587023233,4.883984666245733E-4,5.8431147953103E-4,6.565763759230139E-4,4.259567931708119E-8,0.24999418343506893
10,0.1098046695186382,0.10918090782478022,0.5498046695186382,0.5503488694228377,0.060292149629760164,0.05936793523887089,0.30229214962976014,0.30226141339759965,6.237616938579715E-4,5.44199904199516E-4,9.242143908892719E-4,3.073623216048871E-5,0.24999420953787152
11,0.11972902038736333,0.12010124538792473,0.5997290203873633,0.5994772215617228,0.07169696745034912,0.07198085505263342,0.3596969674503491,0.35866468275604957,3.7222500056140195E-4,2.517988256405257E-4,2.838876022843023E-4,0.0010322846942995567,0.24999423185967046
12,0.12973962478376813,0.1300887854533019,0.6497396247837681,0.6503563224137607,0.08418047388549024,0.08447541621792137,0.42218047388549024,0.4222104664448538,3.491606695337768E-4,6.16697629992613E-4,2.9494233243113066E-4,2.9992559363589688E-5,0.24999425081320006
13,0.13981840927998457,0.1408662491808272,0.6998184092799846,0.7001788222937685,0.09773322086008347,0.09892532126902422,0.4897332208600835,0.4895312561002971,0.0010478399008426453,3.604130137838668E-4,0.0011921004089407439,2.0196475978639938E-4,0.24999426680770598
14,0.1499116209402542,0.1491422028347897,0.7499116209402543,0.7500438020072445,0.11230827344835156,0.11147809439633588,0.5623082734483515,0.5618898553427817,7.694181054644922E-4,1.3218106699020016E-4,8.301790520156838E-4,4.1841810556986214E-4,0.24999428023804515
15,0.1600116209402542,0.16012995944185454,0.8000116209402544,0.8000401082792096,0.12789943554237698,0.12803338539215578,0.6398994355423769,0.6393899684954804,1.1833850160034021E-4,2.848733895521871E-5,1.339498497787972E-4,5.094670468965834E-4,0.2499942914650212
16,0.17003220336159275,0.16972164220581423,0.8500322033615929,0.8503479771656925,0.14442118005774093,0.1440827030608339,0.7224211800577408,0.7222435901205136,3.1056115577851595E-4,3.157738040996394E-4,3.3847699690703337E-4,1.7758993722716276E-4,0.24999430081723953
17,0.1800806090999327,0.18019133466964665,0.9000806090999329,0.9007198886639859,0.16197280613224016,0.16208081946489977,0.80997280613224,0.8101948468600663,1.1072556971394865E-4,6.392795640529636E-4,1.0801333265961222E-4,2.2204072782627815E-4,0.24999430858508234
18,0.1901318321847266,0.1899508679074952,0.9501318321847269,0.9509392979962571,0.1805320901270273,0.18033375210065825,0.9025320901270272,0.9030097256215273,1.8096427723138242E-4,8.074658115302391E-4,1.9833802636906595E-4,4.776354945000838E-4,0.24999431501950148
19,0.2001528443418592,0.20144891406956056,1.0001528443418595,1.0003352499838023,0.20006628550263258,0.20147172150678264,1.0000662855026325,0.9999412058894607,0.0012960697277013544,1.8240564194282882E-4,0.0014054360041500513,1.2507961317187455E-4,0.24999432033878405
20,0.21009051788152647,0.20864613964737963,1.0500905178815267,1.0488345518985702,0.22051924347648577,0.21906635522147577,1.1025192434764857,1.100841522078021,0.001444378234146837,0.0012559659829565195,0.0014528882550099986,0.001677721398464671,0.24999432472832442
21,0.22019051788152647,0.21886540622839418,1.1001905178815268,1.1007314072389829,0.24212829526463842,0.24066810278728035,1.2101282952646384,1.2102763985811178,0.0013251116531322882,5.408893574561091E-4,0.0014601924773580688,1.4810331647940878E-4,0.2499943283475666
22,0.23025113538078767,0.22996532136825512,1.150251135380788,1.1495752557646508,0.2647079645520523,0.2642380859758199,1.3227079645520523,1.3216055898242456,2.858140125325537E-4,6.758796161372427E-4,4.698785762324298E-4,0.0011023747278067209,0.24999433132559723
23,0.24024647960896722,0.2410979676998248,1.2002464796089676,1.2008640847347858,0.28822842231831064,0.288948159989496,1.4402284223183106,1.440443994748273,8.514880908575828E-4,6.176051258182103E-4,7.197376711853831E-4,2.1557242996239623E-4,0.24999433377471633
24,0.2502995824360779,0.2514609069755693,1.2502995824360783,1.2511118076026853,0.31280617310631803,0.31394548053178134,1.562806173106318,1.5632949061473638,0.0011613245394913596,8.122251666069502E-4,0.0011393074254633095,4.887330410456858E-4,0.24999433578812003
25,0.2603388150278535,0.2597928613565313,1.3003388150278539,1.299629065883315,0.3383753639417014,0.33781555246073913,1.6903753639417014,1.6893273668219637,5.45953671322208E-4,7.097491445389181E-4,5.598114809622912E-4,0.001047997119737687,0.24999433744103344
26,0.27036828101326577,0.2697640283439713,1.3503682810132662,1.3510792361919168,0.36493871142989903,0.3642642100090762,1.822938711429899,1.8233307530194829,6.042526692944805E-4,7.109551786506074E-4,6.745014208228151E-4,3.9204158958394686E-4,0.24999433879781974
