Stato,Posizione,PosizioneKalman,Velocita,VelocitaKalman,ErrorePosizione, ErroreVeocita, KalmanGain
0,-0.03178676559484272,1.7647559990106798,-0.6357353118968543,0.029174800898248674,1.7965427646055225,0.6649101127951029,0.009900990099009901
1,-0.11298853821065466,4.439226345572125,-0.9883001404193843,0.22697218520973822,4.55221488378278,1.2152723256291225,0.009900990099009901
2,-0.22359550172932888,7.954827302459388,-1.2238391299540996,0.7571272605804229,8.178422804188717,1.9809663905345225,0.009900990099009901
3,-0.3705954544267767,1.9567340033894123,-1.7161599239948582,-0.6552494916289036,2.327329457816189,1.0609104323659546,0.009900990099009901
4,-0.5822750333685175,-5.501687394419807,-2.517431654839956,-2.9979673129548616,4.919412361051289,0.48053565811490584,0.009900990099009901
5,-0.8455531609791376,7.692677945611368,-2.748130897372446,2.3709659578082136,8.538231106590505,5.1190968551806595,0.009900990099009901
6,-1.1310460080962617,-3.6430514955313864,-2.961726044970036,-3.048592630639386,2.5120054874351245,0.08686658566934957,0.009900990099009901
7,-1.4907215324787575,11.328107801212477,-4.2317844426798805,5.111683394790955,12.818829333691234,9.343467837470836,0.009900990099009901
8,-1.956294777446778,-11.856664985664366,-5.079680456680532,-8.866676424945338,9.900370208217588,3.7869959682648053,0.009900990099009901
9,-2.5086896153040006,4.510209238301561,-5.96821630046392,2.1807674238769845,7.018898853605561,8.148983724340905,0.009900990099009901
10,-3.1084582280488635,-4.08953343868165,-6.027155954433341,-3.8263126826853,0.9810752106327869,2.200843271748041,0.009900990099009901
11,-3.612274275414004,-6.300683231403111,-4.0491649928694695,-5.130905279659553,2.6884089559891073,1.0817402867900832,0.009900990099009901
12,-3.9820418033543117,4.507611938519582,-3.3461855659366853,3.3655138631846597,8.489653741873894,6.711699429121345,0.009900990099009901
13,-4.249928599409267,2.6423023841616353,-2.0115503551624103,1.6672218832685883,6.892230983570903,3.678772238430999,0.009900990099009901
14,-4.449303317034967,-1.033812891883278,-1.9759439973515796,-1.3878600254154718,3.4154904251516887,0.5880839719361077,0.009900990099009901
15,-4.652074612071987,-0.5100601369191302,-2.079481903388805,-0.8378043365866462,4.142014475152856,1.2416775668021587,0.009900990099009901
16,-4.855960192015569,-2.565709225728462,-1.9982296954828405,-2.4666956687532884,2.290250966287107,0.4684659732704479,0.009900990099009901
17,-5.053741659758228,-2.345598433376879,-1.9573996593703153,-2.063379517864972,2.708143226381349,0.10597985849465674,0.009900990099009901
18,-5.276163557926794,-5.792144627573871,-2.491038304000995,-4.8207504680926405,0.5159810696470766,2.3297121640916454,0.009900990099009901
19,-5.51793917630392,-5.787167653349195,-2.3444740635415133,-4.391076570858314,0.2692284770452753,2.046602507316801,0.009900990099009901
