Stato,VelocitaX,VelocitaXKalman,VelocitaY,VelocitaYKalman,PosizioneX,PosizioneXKalman,PosizioneY,PosizioneYKalman,ErroreVeocitaX,ErroreVeocitaY,ErrorePosizioneX,ErrorePosizioneY,KalmanGain
0,0.010024187527150693,0.01000565218261695,0.050024187527150696,0.05001386288076242,5.241875271506922E-4,8.396961752785066E-4,0.0025241875271506927,0.0033331591338213347,1.8535344533743628E-5,1.0324646388275294E-5,3.1550864812781437E-4,8.08971606670642E-4,0.2499792030613139
1,0.01993911989484589,0.02003146622354215,0.09993911989484588,0.10020448182871222,0.0019415386475609537,0.00255805659815224,0.009941538647560954,0.01244281329797163,9.234632869626128E-5,2.653619338663371E-4,6.165179505912863E-4,0.0025012746504106762,0.24997530369799334
2,0.02994505582488947,0.02969072509584144,0.14994505582488946,0.1501099823911644,0.004441386567089123,0.0034678483915869035,0.022441386567089123,0.024521368433874945,2.543307290480308E-4,1.6492656627495328E-4,9.735381755022199E-4,0.0020799818667858218,0.24997554197056768
3,0.03991627400706646,0.040897427759402395,0.19991627400706646,0.19921150667330448,0.00790711033175506,0.010902423566434769,0.039907110331755064,0.0390797686872256,9.81153752335935E-4,7.047673337619853E-4,0.002995313234679709,8.273416445294668E-4,0.24997576804866906
4,0.04981627400706646,0.05016086759322417,0.24981627400706646,0.24900778395566453,0.012298737732461706,0.013596689177756242,0.06229873773246171,0.0609766556529168,3.4459358615770985E-4,8.084900514019333E-4,0.001297951445294536,0.0013220820795449076,0.24997597872880378
5,0.05986426530799127,0.059623552521934214,0.29986426530799126,0.2995764145146416,0.017828356434093168,0.017959311119969887,0.08982835643409318,0.08959812443808714,2.4071278605705682E-4,2.8785079334964214E-4,1.309546858767191E-4,2.3023199600603894E-4,0.24997617178921716
6,0.06988774987538159,0.06944289025229022,0.34988774987538157,0.34906435341723147,0.0243382675322826,0.024084310220830043,0.12233826753228261,0.12109957862693042,4.4485962309136207E-4,8.233964581501052E-4,2.539573114525573E-4,0.0012386889053521838,0.2499763459986213
7,0.07986197934882068,0.07880784205306807,0.3998619793488207,0.3985184844769132,0.031801271993259855,0.030465839519434452,0.15980127199325986,0.15759249665375355,0.0010541372957526135,0.0013434948719074913,0.0013354324738254035,0.002208775339506308,0.2499765010259514
8,0.08976197934882067,0.08848974132786543,0.4497619793488207,0.4499793164807296,0.04018746992814192,0.03835878400861379,0.20218746992814193,0.2021846791013052,0.0012722380209552464,2.1733713190891235E-4,0.0018286859195281308,2.7908268367404787E-6,0.24997663728453448
9,0.09969491359460253,0.0998513307629852,0.49969491359460255,0.4990639672644981,0.04959660210880586,0.04965440335603802,0.24959660210880588,0.2483739488829304,1.5641716838267483E-4,6.309463301044649E-4,5.780124723216151E-5,0.0012226532258754752,0.24997675574883152
10,0.10964514271021615,0.10862928333803773,0.5496451427102161,0.5486565038062265,0.06001632258387971,0.05848872443054496,0.3020163225838797,0.30022992051664277,0.001015859372178421,9.886389039895915E-4,0.0015275981533347527,0.0017864020672369585,0.24997685777037246
11,0.11960701541820225,0.120450701862968,0.5996070154182023,0.6005942892354484,0.07144270956288744,0.07220145960507911,0.35944270956288743,0.36009550234911414,8.436864447657483E-4,9.872738172461704E-4,7.587500421916693E-4,6.52792786226708E-4,0.24997694491676525
12,0.12959029858299237,0.13010940459405104,0.6495902985829924,0.6504659690822002,0.08388669426949778,0.08432240502146664,0.4218866942694978,0.42249546982825936,5.191060110586732E-4,8.756704992077813E-4,4.357107519688541E-4,6.087755587615429E-4,0.2499770188388026
13,0.1394902985829924,0.13810789218433242,0.6994902985829925,0.6989415901871341,0.09724572412779701,0.09542086051919865,0.4892457241277971,0.4882046855929091,0.0013824063986599688,5.487083958584105E-4,0.0018248636085983622,0.001041038534888017,0.24997708117241027
14,0.1493902985829924,0.14818599641443536,0.7493902985829926,0.7493685125185366,0.11159475398609625,0.10982347533700544,0.5615947539860963,0.5611007687572841,0.0012043021685570476,2.1786064455908694E-5,0.00177127864909081,4.93985228812166E-4,0.24997713347244122
15,0.1593251976783728,0.1610857117105285,0.799325197678373,0.7984847727036241,0.12696868293977587,0.12848255446894064,0.6389686829397758,0.6375195494659281,0.0017605140321556856,8.40424974748899E-4,0.0015138715291647675,0.0014491334738476747,0.24997717717015394
16,0.16928909871211115,0.16897141074368782,0.8492890987121113,0.8511775402714594,0.14336510374135147,0.14269561346668194,0.7213651037413514,0.7229189440795705,3.176879684233247E-4,0.0018884415593480863,6.694902746695319E-4,0.0015538403382190369,0.2499772135523545
17,0.17938909871211114,0.17899209075031042,0.8993890987121114,0.8994860819477499,0.1608940136125626,0.1601158686319874,0.8088940136125625,0.8086461512503592,3.9700796180072717E-4,9.698323563855915E-5,7.78144980575185E-4,2.478623622033105E-4,0.2499772437555517
18,0.18937239808581466,0.18950873328400783,0.949372398085815,0.9495309502724905,0.1793162228574772,0.17908614301026088,0.9013162228574771,0.9011443541683765,1.3633519819317153E-4,1.5855218667548687E-4,2.3007984721631902E-4,1.7186868910068487E-4,0.2499772687684257
19,0.19927672934570476,0.19896966782502232,0.9992767293457051,0.999952753878862,0.19865779392594876,0.19794656392685422,0.9986577939259487,0.9990594616517005,3.0706152068243897E-4,6.760245331568493E-4,7.11229999094537E-4,4.0166772575178644E-4,0.24997728944154526
20,0.20936041424074223,0.2104024523826267,1.0493604142407424,1.0487508355700998,0.2191691517555567,0.21990125325823662,1.1011691517555566,1.1002480121439742,0.0010420381418844715,6.095786706425965E-4,7.321015026799105E-4,9.211396115824666E-4,0.24997730649896158
21,0.21936526542750073,0.21861132065463781,1.099365265427501,1.0991865012449349,0.24061004436638941,0.23950601355117906,1.2086100443663894,1.208093873110406,7.539447728629189E-4,1.787641825661268E-4,0.0011040308152103495,5.161712559833553E-4,0.24997732055418204
22,0.22946526542750073,0.22868801905749073,1.149465265427501,1.14992487865731,0.26314657090913945,0.2619496129674484,1.3211465709091395,1.3213064384512307,7.772463700100041E-4,4.596132298089195E-4,0.001196957941691057,1.598675420912965E-4,0.24997733212235276
23,0.23949665344113125,0.2383262846654997,1.1994966534411315,1.1989486107386476,0.28662448546552005,0.2849310572997919,1.43862448546552,1.43775350520042,0.0011703687756315362,5.480427024839862E-4,0.0016934281657281502,8.709802650999077E-4,0.2499773416349878
24,0.24959665344113124,0.25134465255901906,1.2495966534411316,1.2502568255974,0.3111741508096332,0.3124850707125522,1.561174150809633,1.5615445723701162,0.0017479991178878107,6.60172156268457E-4,0.0013109199029190388,3.7042156048316954E-4,0.24997734945097141
25,0.25961502626545313,0.2601150549589796,1.2996150262654536,1.300809217415268,0.3366521889780682,0.3368108214002066,1.6886521889780681,1.6896581897301528,5.000286935264442E-4,0.0011941911498143387,1.586324221383717E-4,0.0010060007520846792,0.24997735586898856
26,0.26971502626545313,0.26900173150015505,1.3497150262654536,1.349572870362466,0.36321369160461353,0.3621400198825498,1.8212136916046133,1.8209261580975913,7.132947652980781E-4,1.4215590298749525E-4,0.0010736717220637404,2.8753350702204195E-4,0.24997736113658628
27,0.2798150262654531,0.27956980218987426,1.3998150262654536,1.3991821129947593,0.3907851942311588,0.39014235686331694,1.9587851942311587,1.957969236202289,2.4522407557886483E-4,6.329132706943685E-4,6.428373678418753E-4,8.15958028869801E-4,0.24997736545796967
28,0.2897414248972867,0.2914055725576272,1.4497414248972873,1.4501244597626621,0.4191930954895377,0.4205423622471434,2.1011930954895375,2.101384850835103,0.0016641476603405092,3.8303486537483167E-4,0.001349266757605716,1.9175534556570284E-4,0.24997736900194892
29,0.29967153480336683,0.30046633737620937,1.4996715348033673,1.4984946836576913,0.4485973478853465,0.44919003112143624,2.2485973478853465,2.2471744208043396,7.948025728425345E-4,0.0011768511456760056,5.926832360897416E-4,0.0014229270810068861,0.24997737190722882
30,0.3095755296415545,0.31040821993419876,1.549575529641555,1.5495140027682468,0.47896849620387083,0.4796752893141638,2.4009684962038707,2.400600351995488,8.32690292644267E-4,6.152687330818196E-5,7.067931102929803E-4,3.681442083824926E-4,0.24997737428878858
